BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,,,,,,
Sugarscape 1 demo.nlogo,,,,,,,,,,,,,,,,,,,,,,
metabolism,,,,,,,,,,,,,,,,,,,,,,
02/17/2022 17:36:44:177 +0800,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,
0,49,0,49,,,,,,,,,,,,,,,,,,,
[run number],visualization,initial-population,max-metabolism,max-vision,[step],count turtles,,rate-of-survival,mean-rate-of-survival,,,,,,,,,,,,,
1,no-visualization,100,1,6,1000,94,,94.0%,93.7%,,,,,,,,,,,,,
2,no-visualization,100,1,6,1000,95,,95.0%,,,,,,,,,,,,,,
3,no-visualization,100,1,6,1000,92,,92.0%,,,,,,,,,,,,,,
4,no-visualization,100,1,6,1000,90,,90.0%,,,,,,,,,,,,,,
5,no-visualization,100,1,6,1000,88,,88.0%,,,,,initial population,,,,,,,,,
6,no-visualization,100,1,6,1000,97,,97.0%,,,,,100,200,300,400,500,600,700,800,900,1000
7,no-visualization,100,1,6,1000,93,,93.0%,,,,1,93.7%,94.4%,93.8%,94.2%,93.6%,92.8%,93.2%,92.8%,92.9%,92.9%
8,no-visualization,100,1,6,1000,97,,97.0%,,,,2,88.1%,88.1%,86.7%,86.9%,87.2%,86.6%,86.5%,86.0%,85.5%,85.7%
9,no-visualization,100,1,6,1000,96,,96.0%,,,,3,76.3%,76.7%,76.3%,75.5%,74.9%,75.6%,74.4%,74.4%,73.4%,73.2%
10,no-visualization,100,1,6,1000,95,,95.0%,,,,4,63.1%,64.0%,64.3%,63.0%,62.6%,61.0%,61.3%,60.8%,60.0%,59.0%
11,no-visualization,100,2,6,1000,90,,90.0%,88.1%,,,5,50.6%,49.1%,50.4%,51.7%,50.7%,49.5%,49.9%,49.5%,48.3%,49.3%
12,no-visualization,100,2,6,1000,86,,86.0%,,,,6,45.9%,42.4%,41.8%,43.2%,40.9%,40.8%,42.8%,40.4%,40.7%,40.8%
13,no-visualization,100,2,6,1000,89,,89.0%,,,,7,38.4%,37.6%,35.7%,37.2%,36.1%,36.0%,35.6%,36.7%,35.8%,36.1%
14,no-visualization,100,2,6,1000,84,,84.0%,,,,8,32.2%,31.2%,32.2%,31.2%,30.9%,31.9%,31.9%,31.1%,31.5%,31.4%
15,no-visualization,100,2,6,1000,88,,88.0%,,,,9,28.7%,26.8%,28.0%,27.5%,29.0%,28.7%,28.7%,28.5%,27.7%,27.9%
16,no-visualization,100,2,6,1000,90,,90.0%,,,,10,25.4%,25.5%,26.3%,26.8%,26.0%,25.6%,25.2%,25.1%,24.8%,24.9%
