BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,,,,,,
Sugarscape 1 demo.nlogo,,,,,,,,,,,,,,,,,,,,,,
popu-meta,,,,,,,,,,,,,,,,,,,,,,
02/18/2022 22:29:17:435 +0800,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,
0,49,0,49,,,,,,,,,,,,,,,,,,,
[run number],max-sugar,visualization,initial-population,max-vision,max-metabolism,[step],mean [metabolism] of turtles,,average-mean-meta,,,,,,,,,,,,,
1,10,no-visualization,100,6,1,800,1,,1,,,,,,,,,,,,,
2,10,no-visualization,100,6,1,800,1,,,,,,,,,,,,,,,
3,10,no-visualization,100,6,1,800,1,,,,,,,,,,,,,,,
4,10,no-visualization,100,6,1,800,1,,,,,,,,,,,,,,,
5,10,no-visualization,100,6,1,800,1,,,,,,,,,,,,,,,
6,10,no-visualization,100,6,1,800,1,,,,,,,,,,max-metabolism,,,,,
7,10,no-visualization,100,6,1,800,1,,,,,,1,2,3,4,5,6,7,8,9,10
8,10,no-visualization,100,6,1,800,1,,,,,100,1.00,1.49,1.91,1.99,2.14,2.00,2.20,2.11,2.10,2.04
9,10,no-visualization,100,6,1,800,1,,,,,200,1.00,1.48,1.81,2.03,2.06,2.03,2.00,2.07,2.04,2.05
10,10,no-visualization,100,6,1,800,1,,,,,300,1.00,1.47,1.85,2.02,2.05,2.07,2.02,2.08,2.03,2.06
11,10,no-visualization,100,6,2,800,1.470588235,,1.491385343,,,400,1.00,1.45,1.83,2.02,2.02,2.05,1.99,1.98,2.00,2.07
12,10,no-visualization,100,6,2,800,1.550561798,,,,initial-population,500,1.00,1.46,1.80,2.01,1.98,2.00,2.05,2.02,2.02,2.04
13,10,no-visualization,100,6,2,800,1.488372093,,,,,600,1.00,1.47,1.79,1.98,1.99,2.04,2.03,2.03,2.01,2.07
14,10,no-visualization,100,6,2,800,1.489130435,,,,,700,1.00,1.46,1.80,1.97,2.00,1.97,2.01,2.02,2.01,2.01
15,10,no-visualization,100,6,2,800,1.505747126,,,,,800,1.00,1.45,1.80,1.95,2.01,2.00,2.03,2.03,2.02,2.03
16,10,no-visualization,100,6,2,800,1.505747126,,,,,900,1.00,1.46,1.78,1.98,2.00,1.99,2.00,2.03,2.04,2.00
17,10,no-visualization,100,6,2,800,1.430232558,,,,,1000,1.00,1.46,1.79,1.95,1.99,1.98,2.02,2.04,2.00,2.02
18,10,no-visualization,100,6,2,800,1.541176471,,,,,,,,,,,,,,,
19,10,no-visualization,100,6,2,800,1.459770115,,,,,,,,,,,,,,,
20,10,no-visualization,100,6,2,800,1.472527473,,,,,,,,,,,,,,,
21,10,no-visualization,100,6,3,800,1.75308642,,1.91429143,,,,,,,,,,,,,
22,10,no-visualization,100,6,3,800,1.976190476,,,,,,,,,,,,,,,
23,10,no-visualization,100,6,3,800,2.028169014,,,,,,,,,,,,,,,
24,10,no-visualization,100,6,3,800,1.959459459,,,,,,,,,,,,,,,
25,10,no-visualization,100,6,3,800,1.936708861,,,,,,,,,,,,,,,
26,10,no-visualization,100,6,3,800,1.905405405,,,,,,,,,,,,,,,
27,10,no-visualization,100,6,3,800,1.945945946,,,,,,,,,,,,,,,
28,10,no-visualization,100,6,3,800,1.884615385,,,,,,,,,,,,,,,
29,10,no-visualization,100,6,3,800,1.92,,,,,,,,,,,,,,,
30,10,no-visualization,100,6,3,800,1.833333333,,,,,,,,,,,,,,,
31,10,no-visualization,100,6,4,800,2.106060606,,1.985659287,,,,,,,,,,,,,
32,10,no-visualization,100,6,4,800,2.133333333,,,,,,,,,,,,,,,
33,10,no-visualization,100,6,4,800,1.955223881,,,,,,,,,,,,,,,
34,10,no-visualization,100,6,4,800,1.973333333,,,,,,,,,,,,,,,
35,10,no-visualization,100,6,4,800,2.029411765,,,,,,,,,,,,,,,
36,10,no-visualization,100,6,4,800,2.072463768,,,,,,,,,,,,,,,
37,10,no-visualization,100,6,4,800,1.898305085,,,,,,,,,,,,,,,
38,10,no-visualization,100,6,4,800,1.939393939,,,,,,,,,,,,,,,
39,10,no-visualization,100,6,4,800,2.0625,,,,,,,,,,,,,,,
40,10,no-visualization,100,6,4,800,1.686567164,,,,,,,,,,,,,,,
41,10,no-visualization,100,6,5,800,1.916666667,,2.136665186,,,,,,,,,,,,,
42,10,no-visualization,100,6,5,800,2.088888889,,,,,,,,,,,,,,,
43,10,no-visualization,100,6,5,800,2,,,,,,,,,,,,,,,
44,10,no-visualization,100,6,5,800,2.078431373,,,,,,,,,,,,,,,
45,10,no-visualization,100,6,5,800,2.4,,,,,,,,,,,,,,,
46,10,no-visualization,100,6,5,800,2.084745763,,,,,,,,,,,,,,,
47,10,no-visualization,100,6,5,800,2.078431373,,,,,,,,,,,,,,,
48,10,no-visualization,100,6,5,800,2.37254902,,,,,,,,,,,,,,,
49,10,no-visualization,100,6,5,800,2.081632653,,,,,,,,,,,,,,,
50,10,no-visualization,100,6,5,800,2.265306122,,,,,,,,,,,,,,,
51,10,no-visualization,100,6,6,800,1.952380952,,1.998942406,,,,,,,,,,,,,
52,10,no-visualization,100,6,6,800,2.027777778,,,,,,,,,,,,,,,
53,10,no-visualization,100,6,6,800,1.931818182,,,,,,,,,,,,,,,
54,10,no-visualization,100,6,6,800,1.793103448,,,,,,,,,,,,,,,
55,10,no-visualization,100,6,6,800,1.860465116,,,,,,,,,,,,,,,
56,10,no-visualization,100,6,6,800,2.073170732,,,,,,,,,,,,,,,
57,10,no-visualization,100,6,6,800,2.166666667,,,,,,,,,,,,,,,
58,10,no-visualization,100,6,6,800,2.095238095,,,,,,,,,,,,,,,
59,10,no-visualization,100,6,6,800,2.142857143,,,,,,,,,,,,,,,
60,10,no-visualization,100,6,6,800,1.945945946,,,,,,,,,,,,,,,
61,10,no-visualization,100,6,7,800,2.636363636,,2.19565986,,,,,,,,,,,,,
62,10,no-visualization,100,6,7,800,2.216216216,,,,,,,,,,,,,,,
