BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,,,,,,,,
Sugarscape 1 demo.nlogo,,,,,,,,,,,,,,,,,,,,,,,,
popu-vision,,,,,,,,,,,,,,,,,,,,,,,,
02/18/2022 00:13:59:160 +0800,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,
0,49,0,49,,,,,,,,,,,,,,,,,,,,,
[run number],visualization,initial-population,max-vision,max-metabolism,[step],count turtles,mean [vision] of turtles,,survival-rate,average-survival,average-mean-vision,,,,,,,,,,,,,
1,no-visualization,100,1,10,800,24,1,,24.0%,22.4%,1,,,,,,,,,,,,,
2,no-visualization,100,1,10,800,17,1,,17.0%,,,,,,,,,,,,,,,
3,no-visualization,100,1,10,800,26,1,,26.0%,,,,,,,,,,,,,,,
4,no-visualization,100,1,10,800,20,1,,20.0%,,,,,,,,,,,,,,,
5,no-visualization,100,1,10,800,21,1,,21.0%,,,,,,1,2,3,4,5,6,7,8,9,10
6,no-visualization,100,1,10,800,21,1,,21.0%,,,,,100,1,1.477810042,2.179315806,2.73035085,3.172199736,3.807380908,4.455978836,4.976788192,5.552403555,6.164651506
7,no-visualization,100,1,10,800,20,1,,20.0%,,,,,200,1,1.509983286,2.018429049,2.604872856,3.081751894,3.775641581,4.246478908,4.99890843,5.644187291,6.184585418
8,no-visualization,100,1,10,800,26,1,,26.0%,,,,,300,1,1.501244622,2.035005538,2.636646296,3.110721978,3.767856799,4.415173523,4.948157028,5.576909096,6.115087008
9,no-visualization,100,1,10,800,26,1,,26.0%,,,,,400,1,1.545164185,2.088751323,2.576030153,3.118274412,3.749727004,4.460115223,5.054475708,5.504590081,6.155071377
10,no-visualization,100,1,10,800,23,1,,23.0%,,,,,500,1,1.523519671,2.07082225,2.601679489,3.226165552,3.685245634,4.379784396,4.88963977,5.555514469,6.005807843
11,no-visualization,100,2,10,800,22,1.636363636,,22.0%,22.3%,1.477810042,,,600,1,1.497865801,2.058483838,2.63308681,3.144038398,3.800670772,4.400169485,4.989644647,5.641789005,6.065948833
12,no-visualization,100,2,10,800,29,1.620689655,,29.0%,,,,,700,1,1.508862882,2.082183998,2.552399328,3.188762623,3.835767809,4.351147935,4.93652826,5.622432449,6.136848688
13,no-visualization,100,2,10,800,16,1.4375,,16.0%,,,,,800,1,1.512213843,2.099594816,2.573759757,3.11484072,3.730329528,4.460642032,4.907434893,5.482962981,6.179616783
14,no-visualization,100,2,10,800,27,1.518518519,,27.0%,,,,,900,1,1.511316607,2.036504115,2.607068702,3.191538885,3.764734958,4.377393176,4.812765767,5.542240399,6.169528959
15,no-visualization,100,2,10,800,23,1.434782609,,23.0%,,,,,1000,1,1.514921181,2.094996583,2.578711903,3.19098607,3.78028483,4.410585476,4.945097021,5.542968848,6.157218532
16,no-visualization,100,2,10,800,17,1.352941176,,17.0%,,,,,,,,,,,,,,,
17,no-visualization,100,2,10,800,22,1.318181818,,22.0%,,,,,,,,,,,,,,,
18,no-visualization,100,2,10,800,23,1.608695652,,23.0%,,,,,,,,,,,,,,,
19,no-visualization,100,2,10,800,26,1.461538462,,26.0%,,,,,,,,,,,,,,,
20,no-visualization,100,2,10,800,18,1.388888889,,18.0%,,,,,,,,,,,,,,,
21,no-visualization,100,3,10,800,28,2.428571429,,28.0%,22.7%,2.179315806,,,,,,,,,,,,,
22,no-visualization,100,3,10,800,19,2.368421053,,19.0%,,,,,,,,,,,,,,,
23,no-visualization,100,3,10,800,27,1.962962963,,27.0%,,,,,,,,,,,,,,,
24,no-visualization,100,3,10,800,18,2.055555556,,18.0%,,,,,,,,,,,,,,,
25,no-visualization,100,3,10,800,34,2,,34.0%,,,,,,,,,,,,,,,
26,no-visualization,100,3,10,800,17,2.117647059,,17.0%,,,,,,,,,,,,,,,
27,no-visualization,100,3,10,800,24,2.333333333,,24.0%,,,,,,,,,,,,,,,
28,no-visualization,100,3,10,800,20,2.1,,20.0%,,,,,,,,,,,,,,,
29,no-visualization,100,3,10,800,15,2.466666667,,15.0%,,,,,,,,,,,,,,,
30,no-visualization,100,3,10,800,25,1.96,,25.0%,,,,,,,,,,,,,,,
31,no-visualization,100,4,10,800,23,2.52173913,,23.0%,20.7%,2.73035085,,,,,,,,,,,,,
32,no-visualization,100,4,10,800,18,2.833333333,,18.0%,,,,,,,,,,,,,,,
33,no-visualization,100,4,10,800,17,3.117647059,,17.0%,,,,,,,,,,,,,,,
34,no-visualization,100,4,10,800,17,2.647058824,,17.0%,,,,,,,,,,,,,,,
35,no-visualization,100,4,10,800,24,2.708333333,,24.0%,,,,,,,,,,,,,,,
36,no-visualization,100,4,10,800,30,2.5,,30.0%,,,,,,,,,,,,,,,
37,no-visualization,100,4,10,800,14,2.714285714,,14.0%,,,,,,,,,,,,,,,
38,no-visualization,100,4,10,800,30,2.733333333,,30.0%,,,,,,,,,,,,,,,
39,no-visualization,100,4,10,800,18,2.777777778,,18.0%,,,,,,,,,,,,,,,
40,no-visualization,100,4,10,800,16,2.75,,16.0%,,,,,,,,,,,,,,,
41,no-visualization,100,5,10,800,26,3.307692308,,26.0%,24.5%,3.172199736,,,,,,,,,,,,,
42,no-visualization,100,5,10,800,25,3.08,,25.0%,,,,,,,,,,,,,,,
43,no-visualization,100,5,10,800,31,3.483870968,,31.0%,,,,,,,,,,,,,,,
44,no-visualization,100,5,10,800,19,3.210526316,,19.0%,,,,,,,,,,,,,,,
45,no-visualization,100,5,10,800,21,2.333333333,,21.0%,,,,,,,,,,,,,,,
46,no-visualization,100,5,10,800,33,3.060606061,,33.0%,,,,,,,,,,,,,,,
47,no-visualization,100,5,10,800,25,3.36,,25.0%,,,,,,,,,,,,,,,
48,no-visualization,100,5,10,800,20,2.55,,20.0%,,,,,,,,,,,,,,,
49,no-visualization,100,5,10,800,23,3.608695652,,23.0%,,,,,,,,,,,,,,,
50,no-visualization,100,5,10,800,22,3.727272727,,22.0%,,,,,,,,,,,,,,,
51,no-visualization,100,6,10,800,26,3.692307692,,26.0%,25.0%,3.807380908,,,,,,,,,,,,,
52,no-visualization,100,6,10,800,26,3.384615385,,26.0%,,,,,,,,,,,,,,,
53,no-visualization,100,6,10,800,21,3.80952381,,21.0%,,,,,,,,,,,,,,,
54,no-visualization,100,6,10,800,20,3.6,,20.0%,,,,,,,,,,,,,,,
55,no-visualization,100,6,10,800,29,3.965517241,,29.0%,,,,,,,,,,,,,,,
56,no-visualization,100,6,10,800,28,3.857142857,,28.0%,,,,,,,,,,,,,,,
57,no-visualization,100,6,10,800,23,3.52173913,,23.0%,,,,,,,,,,,,,,,
58,no-visualization,100,6,10,800,25,4.28,,25.0%,,,,,,,,,,,,,,,
59,no-visualization,100,6,10,800,27,3.962962963,,27.0%,,,,,,,,,,,,,,,
60,no-visualization,100,6,10,800,25,4,,25.0%,,,,,,,,,,,,,,,
61,no-visualization,100,7,10,800,30,4.5,,30.0%,28.0%,4.455978836,,,,,,,,,,,,,
62,no-visualization,100,7,10,800,23,5,,23.0%,,,,,,,,,,,,,,,
63,no-visualization,100,7,10,800,27,4.814814815,,27.0%,,,,,,,,,,,,,,,
64,no-visualization,100,7,10,800,30,4.1,,30.0%,,,,,,,,,,,,,,,
65,no-visualization,100,7,10,800,27,4.296296296,,27.0%,,,,,,,,,,,,,,,
66,no-visualization,100,7,10,800,28,4.5,,28.0%,,,,,,,,,,,,,,,
67,no-visualization,100,7,10,800,30,4.466666667,,30.0%,,,,,,,,,,,,,,,
68,no-visualization,100,7,10,800,27,3.962962963,,27.0%,,,,,,,,,,,,,,,
69,no-visualization,100,7,10,800,30,4.133333333,,30.0%,,,,,,,,,,,,,,,
70,no-visualization,100,7,10,800,28,4.785714286,,28.0%,,,,,,,,,,,,,,,
71,no-visualization,100,8,10,800,26,4.807692308,,26.0%,30.6%,4.976788192,,,,,,,,,,,,,
