BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarscape 1 demo.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vision-meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/17/2022 21:48:31:766 +0800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,0,49,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],visualization,initial-population,max-metabolism,max-vision,[step],count turtles,mean [vision] of turtles,mean [metabolism] of turtles,,survival-rate,survival-rate-average,vision/metabolism,mean-vision/metabolism,,,,,,,,,,,,,,,
1,no-visualization,550,1,1,800,483,1,1,,0.878181818,86.7%,1,1.0,,,,,,,,,,,,,,,
2,no-visualization,550,1,1,800,479,1,1,,0.870909091,,1,,,,,,,,,,,,,,,,
3,no-visualization,550,1,1,800,491,1,1,,0.892727273,,1,,,,,,,,,,,,,,,,
4,no-visualization,550,1,1,800,483,1,1,,0.878181818,,1,,,,,,,,,,,,,,,,
5,no-visualization,550,1,1,800,477,1,1,,0.867272727,,1,,,,,,,,,,,,,,,,
6,no-visualization,550,1,1,800,468,1,1,,0.850909091,,1,,,,,,,,,,,,,,,,
7,no-visualization,550,1,1,800,478,1,1,,0.869090909,,1,,,,,,,,,,,,,,,,
8,no-visualization,550,1,1,800,468,1,1,,0.850909091,,1,,,,,,,,,,,,,,,,
9,no-visualization,550,1,1,800,471,1,1,,0.856363636,,1,,,,,,,,,,,,,,,,
10,no-visualization,550,1,1,800,473,1,1,,0.86,,1,,,,,,,,,,,,,,,,
11,no-visualization,550,1,2,800,489,1.494887526,1,,0.889090909,87.8%,1.494887526,1.5,,,,,,,,,,,,,,,
12,no-visualization,550,1,2,800,482,1.537344398,1,,0.876363636,,1.537344398,,,,,,,,,,,,,,,,
13,no-visualization,550,1,2,800,481,1.48024948,1,,0.874545455,,1.48024948,,,,,,,,,,,,,,,,
14,no-visualization,550,1,2,800,470,1.474468085,1,,0.854545455,,1.474468085,,,,,,,,,,,,,,,,
15,no-visualization,550,1,2,800,494,1.481781377,1,,0.898181818,,1.481781377,,,,,,,,,,,,,,,,
16,no-visualization,550,1,2,800,490,1.518367347,1,,0.890909091,,1.518367347,,,,,,,,,,,,,,,,
17,no-visualization,550,1,2,800,486,1.534979424,1,,0.883636364,,1.534979424,,,,,,,,,,,,,,,,
18,no-visualization,550,1,2,800,468,1.532051282,1,,0.850909091,,1.532051282,,,,,,,,,,,,,,,,
19,no-visualization,550,1,2,800,483,1.542443064,1,,0.878181818,,1.542443064,,,,,,,,,,,,,,,,
20,no-visualization,550,1,2,800,484,1.506198347,1,,0.88,,1.506198347,,,,,,,,,,,,,,,,
21,no-visualization,550,1,3,800,499,2.100200401,1,,0.907272727,89.7%,2.100200401,2.0,,,,,,,,,,,,,,,
22,no-visualization,550,1,3,800,501,2.063872255,1,,0.910909091,,2.063872255,,,,,,,,,,,max-vision,,,,,
23,no-visualization,550,1,3,800,484,2.039256198,1,,0.88,,2.039256198,,,,,,,1,2,3,4,5,6,7,8,9,10
24,no-visualization,550,1,3,800,484,2.004132231,1,,0.88,,2.004132231,,,,,,1,86.7%,87.8%,89.7%,91.0%,92.4%,93.4%,94.1%,95.3%,95.6%,96.3%
25,no-visualization,550,1,3,800,491,2.067209776,1,,0.892727273,,2.067209776,,,,,,2,76.2%,78.8%,81.2%,82.7%,85.3%,87.3%,89.1%,89.6%,91.3%,92.8%
26,no-visualization,550,1,3,800,492,2.008130081,1,,0.894545455,,2.008130081,,,,,,3,62.5%,66.1%,66.8%,70.5%,73.5%,74.8%,77.4%,79.4%,81.7%,84.1%
27,no-visualization,550,1,3,800,490,2.018367347,1,,0.890909091,,2.018367347,,,,,,4,50.2%,53.2%,55.1%,56.7%,60.7%,61.7%,65.1%,68.1%,69.6%,71.5%
28,no-visualization,550,1,3,800,496,2.012096774,1,,0.901818182,,2.012096774,,,,,max-metabolism,5,40.0%,42.1%,44.4%,46.7%,48.1%,50.4%,51.7%,54.2%,57.5%,57.5%
29,no-visualization,550,1,3,800,500,2.006,1,,0.909090909,,2.006,,,,,,6,34.9%,34.9%,37.1%,38.5%,39.5%,42.7%,45.1%,45.3%,48.0%,48.2%
30,no-visualization,550,1,3,800,496,1.993951613,1,,0.901818182,,1.993951613,,,,,,7,28.2%,29.8%,31.5%,33.6%,34.4%,36.2%,38.9%,40.2%,41.2%,42.2%
31,no-visualization,550,1,4,800,500,2.462,1,,0.909090909,91.0%,2.462,2.5,,,,,8,24.2%,25.7%,28.3%,28.0%,31.1%,32.3%,33.7%,35.5%,36.2%,37.5%
32,no-visualization,550,1,4,800,504,2.515873016,1,,0.916363636,,2.515873016,,,,,,9,23.0%,22.5%,24.1%,25.5%,25.5%,28.7%,29.5%,31.3%,32.6%,34.1%
33,no-visualization,550,1,4,800,498,2.534136546,1,,0.905454545,,2.534136546,,,,,,10,19.8%,22.0%,22.5%,22.7%,24.4%,26.4%,26.6%,26.7%,28.6%,31.2%
34,no-visualization,550,1,4,800,492,2.479674797,1,,0.894545455,,2.479674797,,,,,,,,,,,,,,,,
35,no-visualization,550,1,4,800,492,2.528455285,1,,0.894545455,,2.528455285,,,,,,,,,,,,,,,,
36,no-visualization,550,1,4,800,507,2.479289941,1,,0.921818182,,2.479289941,,,,,,,,,,,,,,,,
37,no-visualization,550,1,4,800,499,2.480961924,1,,0.907272727,,2.480961924,,,,,,,,,,,,,,,,
38,no-visualization,550,1,4,800,509,2.589390963,1,,0.925454545,,2.589390963,,,,,,,,,,,,,,,,
39,no-visualization,550,1,4,800,499,2.51503006,1,,0.907272727,,2.51503006,,,,,,,,,,,,,,,,
40,no-visualization,550,1,4,800,503,2.550695825,1,,0.914545455,,2.550695825,,,,,,,,,,,,,,,,
41,no-visualization,550,1,5,800,514,3.035019455,1,,0.934545455,92.4%,3.035019455,3.1,,,,,,,,,,,,,,,
42,no-visualization,550,1,5,800,508,3.013779528,1,,0.923636364,,3.013779528,,,,,,,,,,,,,,,,
43,no-visualization,550,1,5,800,511,3.029354207,1,,0.929090909,,3.029354207,,,,,,,,,,,,,,,,
44,no-visualization,550,1,5,800,505,2.944554455,1,,0.918181818,,2.944554455,,,,,,,,,,,,,,,,
45,no-visualization,550,1,5,800,515,3.017475728,1,,0.936363636,,3.017475728,,,,,,,,,,,,,,,,
46,no-visualization,550,1,5,800,507,3.057199211,1,,0.921818182,,3.057199211,,,,,,,,,,,,,,,,
47,no-visualization,550,1,5,800,511,3.142857143,1,,0.929090909,,3.142857143,,,,,,,,,,,,,,,,
48,no-visualization,550,1,5,800,509,3.117878193,1,,0.925454545,,3.117878193,,,,,,,,,,,,,,,,
49,no-visualization,550,1,5,800,500,3.096,1,,0.909090909,,3.096,,,,,,,,,,,,,,,,
50,no-visualization,550,1,5,800,503,3.073558648,1,,0.914545455,,3.073558648,,,,,,,,,,,,,,,,
51,no-visualization,550,1,6,800,507,3.489151874,1,,0.921818182,93.4%,3.489151874,3.6,,,,,,,,,,,,,,,
52,no-visualization,550,1,6,800,515,3.6,1,,0.936363636,,3.6,,,,,,,,,,,,,,,,
53,no-visualization,550,1,6,800,514,3.480544747,1,,0.934545455,,3.480544747,,,,,,,,,,,,,,,,
54,no-visualization,550,1,6,800,516,3.567829457,1,,0.938181818,,3.567829457,,,,,,,,,,,,,,,,
55,no-visualization,550,1,6,800,513,3.631578947,1,,0.932727273,,3.631578947,,,,,,,,,,,,,,,,
56,no-visualization,550,1,6,800,512,3.591796875,1,,0.930909091,,3.591796875,,,,,,,,,,,,,,,,
57,no-visualization,550,1,6,800,515,3.568932039,1,,0.936363636,,3.568932039,,,,,,,,,,,,,,,,
58,no-visualization,550,1,6,800,518,3.608108108,1,,0.941818182,,3.608108108,,,,,,,,,,,,,,,,
59,no-visualization,550,1,6,800,512,3.66796875,1,,0.930909091,,3.66796875,,,,,,,,,,,,,,,,
60,no-visualization,550,1,6,800,516,3.622093023,1,,0.938181818,,3.622093023,,,,,,,,,,,,,,,,
61,no-visualization,550,1,7,800,519,4.053949904,1,,0.943636364,94.1%,4.053949904,4.1,,,,,,,,,,,,,,,
62,no-visualization,550,1,7,800,514,4.138132296,1,,0.934545455,,4.138132296,,,,,,,,,,,,,,,,
63,no-visualization,550,1,7,800,512,4.06640625,1,,0.930909091,,4.06640625,,,,,,,,,,,,,,,,
64,no-visualization,550,1,7,800,526,4.136882129,1,,0.956363636,,4.136882129,,,,,,,,,,,,,,,,
65,no-visualization,550,1,7,800,521,4.201535509,1,,0.947272727,,4.201535509,,,,,,,,,,,,,,,,
66,no-visualization,550,1,7,800,524,4.091603053,1,,0.952727273,,4.091603053,,,,,,,,,,,,,,,,
67,no-visualization,550,1,7,800,507,3.984220907,1,,0.921818182,,3.984220907,,,,,,,,,,,,,,,,
68,no-visualization,550,1,7,800,515,4.062135922,1,,0.936363636,,4.062135922,,,,,,,,,,,,,,,,
69,no-visualization,550,1,7,800,522,3.883141762,1,,0.949090909,,3.883141762,,,,,,,,,,,,,,,,
70,no-visualization,550,1,7,800,517,4.125725338,1,,0.94,,4.125725338,,,,,,,,,,,,,,,,
71,no-visualization,550,1,8,800,528,4.556818182,1,,0.96,95.3%,4.556818182,4.6,,,,,,,,,,,,,,,
72,no-visualization,550,1,8,800,525,4.643809524,1,,0.954545455,,4.643809524,,,,,,,,,,,,,,,,
73,no-visualization,550,1,8,800,526,4.448669202,1,,0.956363636,,4.448669202,,,,,,,,,,,,,,,,
74,no-visualization,550,1,8,800,526,4.661596958,1,,0.956363636,,4.661596958,,,,,,,,,,,,,,,,
75,no-visualization,550,1,8,800,531,4.70433145,1,,0.965454545,,4.70433145,,,,,,,,,,,,,,,,
76,no-visualization,550,1,8,800,523,4.585086042,1,,0.950909091,,4.585086042,,,,,,,,,,,,,,,,
77,no-visualization,550,1,8,800,521,4.437619962,1,,0.947272727,,4.437619962,,,,,,,,,,,,,,,,
78,no-visualization,550,1,8,800,517,4.736943907,1,,0.94,,4.736943907,,,,,,,,,,,,,,,,
79,no-visualization,550,1,8,800,522,4.584291188,1,,0.949090909,,4.584291188,,,,,,,,,,,,,,,,
80,no-visualization,550,1,8,800,521,4.558541267,1,,0.947272727,,4.558541267,,,,,,,,,,,,,,,,
81,no-visualization,550,1,9,800,531,5.096045198,1,,0.965454545,95.6%,5.096045198,5.1,,,,,,,,,,,,,,,
82,no-visualization,550,1,9,800,522,5.01532567,1,,0.949090909,,5.01532567,,,,,,,,,,,,,,,,
83,no-visualization,550,1,9,800,526,5.159695817,1,,0.956363636,,5.159695817,,,,,,,,,,,,,,,,
84,no-visualization,550,1,9,800,520,5.130769231,1,,0.945454545,,5.130769231,,,,,,,,,,,,,,,,
85,no-visualization,550,1,9,800,525,5.066666667,1,,0.954545455,,5.066666667,,,,,,,,,,,,,,,,
86,no-visualization,550,1,9,800,525,5.12,1,,0.954545455,,5.12,,,,,,,,,,,,,,,,
87,no-visualization,550,1,9,800,527,5.144212524,1,,0.958181818,,5.144212524,,,,,,,,,,,,,,,,
88,no-visualization,550,1,9,800,526,5.070342205,1,,0.956363636,,5.070342205,,,,,,,,,,,,,,,,
89,no-visualization,550,1,9,800,529,4.990548204,1,,0.961818182,,4.990548204,,,,,,,,,,,,,,,,
90,no-visualization,550,1,9,800,525,5,1,,0.954545455,,5,,,,,,,,,,,,,,,,
91,no-visualization,550,1,10,800,532,5.710526316,1,,0.967272727,96.3%,5.710526316,5.6,,,,,,,,,,,,,,,
92,no-visualization,550,1,10,800,526,5.557034221,1,,0.956363636,,5.557034221,,,,,,,,,,,,,,,,
93,no-visualization,550,1,10,800,529,5.708884688,1,,0.961818182,,5.708884688,,,,,,,,,,,,,,,,
94,no-visualization,550,1,10,800,530,5.616981132,1,,0.963636364,,5.616981132,,,,,,,,,,,,,,,,
95,no-visualization,550,1,10,800,527,5.582542694,1,,0.958181818,,5.582542694,,,,,,,,,,,,,,,,
96,no-visualization,550,1,10,800,530,5.709433962,1,,0.963636364,,5.709433962,,,,,,,,,,,,,,,,
97,no-visualization,550,1,10,800,526,5.406844106,1,,0.956363636,,5.406844106,,,,,,,,,,,,,,,,
98,no-visualization,550,1,10,800,531,5.604519774,1,,0.965454545,,5.604519774,,,,,,,,,,,,,,,,
99,no-visualization,550,1,10,800,528,5.65719697,1,,0.96,,5.65719697,,,,,,,,,,,,,,,,
100,no-visualization,550,1,10,800,536,5.585820896,1,,0.974545455,,5.585820896,,,,,,,,,,,,,,,,
101,no-visualization,550,2,1,800,428,1,1.420560748,,0.778181818,76.2%,0.703947368,0.7,,,,,,,,,,,,,,,
102,no-visualization,550,2,1,800,415,1,1.419277108,,0.754545455,,0.704584041,,,,,,,,,,,,,,,,
103,no-visualization,550,2,1,800,413,1,1.397094431,,0.750909091,,0.715771231,,,,,,,,,,,,,,,,
104,no-visualization,550,2,1,800,432,1,1.37962963,,0.785454545,,0.724832215,,,,,,,,,,,,,,,,
105,no-visualization,550,2,1,800,416,1,1.442307692,,0.756363636,,0.693333333,,,,,,,,,,,,,,,,
106,no-visualization,550,2,1,800,411,1,1.423357664,,0.747272727,,0.702564103,,,,,,,,,,,,,,,,
107,no-visualization,550,2,1,800,406,1,1.374384236,,0.738181818,,0.727598566,,,,,,,,,,,,,,,,
108,no-visualization,550,2,1,800,404,1,1.45049505,,0.734545455,,0.689419795,,,,,,,,,,,,,,,,
109,no-visualization,550,2,1,800,428,1,1.408878505,,0.778181818,,0.709784411,,,,,,,,,,,,,,,,
110,no-visualization,550,2,1,800,437,1,1.455377574,,0.794545455,,0.687106918,,,,,,,,,,,,,,,,
111,no-visualization,550,2,2,800,433,1.468822171,1.406466513,,0.787272727,78.8%,1.044334975,1.0,,,,,,,,,,,,,,,
