BehaviorSpace results (NetLogo 6.2.2),,,,,,,
Sugarscape 2 Constant Growback.nlogo,,,,,,,
experiment,,,,,,,
02/17/2022 16:49:59:663 +0800,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,
0,49,0,49,,,,
[run number],visualization,initial-population,[step],count turtles,,rate-of-survival,mean-rate-of-survival
1,no-visualization,50,1000,36,,72.0%,70.6%
2,no-visualization,50,1000,34,,68.0%,
3,no-visualization,50,1000,38,,76.0%,
4,no-visualization,50,1000,34,,68.0%,
5,no-visualization,50,1000,37,,74.0%,
6,no-visualization,50,1000,35,,70.0%,
7,no-visualization,50,1000,37,,74.0%,
8,no-visualization,50,1000,35,,70.0%,
9,no-visualization,50,1000,35,,70.0%,
10,no-visualization,50,1000,32,,64.0%,
11,no-visualization,100,1000,51,,51.0%,61.5%
12,no-visualization,100,1000,62,,62.0%,
13,no-visualization,100,1000,65,,65.0%,
14,no-visualization,100,1000,54,,54.0%,
15,no-visualization,100,1000,77,,77.0%,
16,no-visualization,100,1000,55,,55.0%,
17,no-visualization,100,1000,63,,63.0%,
18,no-visualization,100,1000,66,,66.0%,
19,no-visualization,100,1000,64,,64.0%,
20,no-visualization,100,1000,58,,58.0%,
21,no-visualization,150,1000,95,,63.3%,61.1%
22,no-visualization,150,1000,101,,67.3%,
23,no-visualization,150,1000,90,,60.0%,
24,no-visualization,150,1000,81,,54.0%,
25,no-visualization,150,1000,91,,60.7%,
26,no-visualization,150,1000,93,,62.0%,
27,no-visualization,150,1000,90,,60.0%,
28,no-visualization,150,1000,101,,67.3%,
29,no-visualization,150,1000,84,,56.0%,
30,no-visualization,150,1000,90,,60.0%,
31,no-visualization,200,1000,112,,56.0%,61.1%
32,no-visualization,200,1000,128,,64.0%,
33,no-visualization,200,1000,126,,63.0%,
34,no-visualization,200,1000,117,,58.5%,
35,no-visualization,200,1000,117,,58.5%,
36,no-visualization,200,1000,126,,63.0%,
37,no-visualization,200,1000,126,,63.0%,
38,no-visualization,200,1000,112,,56.0%,
39,no-visualization,200,1000,131,,65.5%,
40,no-visualization,200,1000,127,,63.5%,
41,no-visualization,250,1000,148,,59.2%,61.2%
42,no-visualization,250,1000,146,,58.4%,
43,no-visualization,250,1000,158,,63.2%,
44,no-visualization,250,1000,159,,63.6%,
45,no-visualization,250,1000,148,,59.2%,
46,no-visualization,250,1000,163,,65.2%,
47,no-visualization,250,1000,150,,60.0%,
48,no-visualization,250,1000,151,,60.4%,
49,no-visualization,250,1000,162,,64.8%,
50,no-visualization,250,1000,144,,57.6%,
51,no-visualization,300,1000,183,,61.0%,59.5%
52,no-visualization,300,1000,189,,63.0%,
53,no-visualization,300,1000,179,,59.7%,
54,no-visualization,300,1000,177,,59.0%,
55,no-visualization,300,1000,190,,63.3%,
56,no-visualization,300,1000,178,,59.3%,
57,no-visualization,300,1000,170,,56.7%,
58,no-visualization,300,1000,173,,57.7%,
59,no-visualization,300,1000,170,,56.7%,
60,no-visualization,300,1000,176,,58.7%,
61,no-visualization,350,1000,199,,56.9%,58.3%
62,no-visualization,350,1000,198,,56.6%,
63,no-visualization,350,1000,212,,60.6%,
64,no-visualization,350,1000,223,,63.7%,
65,no-visualization,350,1000,190,,54.3%,
66,no-visualization,350,1000,199,,56.9%,
67,no-visualization,350,1000,207,,59.1%,
68,no-visualization,350,1000,204,,58.3%,
69,no-visualization,350,1000,213,,60.9%,
70,no-visualization,350,1000,196,,56.0%,
71,no-visualization,400,1000,227,,56.8%,56.9%
72,no-visualization,400,1000,226,,56.5%,
73,no-visualization,400,1000,220,,55.0%,
74,no-visualization,400,1000,226,,56.5%,
75,no-visualization,400,1000,232,,58.0%,
76,no-visualization,400,1000,227,,56.8%,
77,no-visualization,400,1000,216,,54.0%,
78,no-visualization,400,1000,234,,58.5%,
79,no-visualization,400,1000,224,,56.0%,
80,no-visualization,400,1000,245,,61.3%,
81,no-visualization,450,1000,253,,56.2%,54.9%
82,no-visualization,450,1000,258,,57.3%,
83,no-visualization,450,1000,242,,53.8%,
84,no-visualization,450,1000,256,,56.9%,
85,no-visualization,450,1000,244,,54.2%,
86,no-visualization,450,1000,253,,56.2%,
87,no-visualization,450,1000,234,,52.0%,
88,no-visualization,450,1000,245,,54.4%,
89,no-visualization,450,1000,252,,56.0%,
90,no-visualization,450,1000,234,,52.0%,
91,no-visualization,500,1000,253,,50.6%,51.3%
92,no-visualization,500,1000,263,,52.6%,
93,no-visualization,500,1000,254,,50.8%,
94,no-visualization,500,1000,249,,49.8%,
95,no-visualization,500,1000,260,,52.0%,
96,no-visualization,500,1000,261,,52.2%,
97,no-visualization,500,1000,260,,52.0%,
98,no-visualization,500,1000,249,,49.8%,
99,no-visualization,500,1000,268,,53.6%,
100,no-visualization,500,1000,250,,50.0%,
101,no-visualization,550,1000,262,,47.6%,48.9%
102,no-visualization,550,1000,268,,48.7%,
103,no-visualization,550,1000,270,,49.1%,
104,no-visualization,550,1000,273,,49.6%,
105,no-visualization,550,1000,264,,48.0%,
106,no-visualization,550,1000,261,,47.5%,
107,no-visualization,550,1000,287,,52.2%,
108,no-visualization,550,1000,265,,48.2%,
109,no-visualization,550,1000,267,,48.5%,
110,no-visualization,550,1000,274,,49.8%,
111,no-visualization,600,1000,280,,46.7%,46.5%
112,no-visualization,600,1000,282,,47.0%,
113,no-visualization,600,1000,277,,46.2%,
114,no-visualization,600,1000,268,,44.7%,
115,no-visualization,600,1000,269,,44.8%,
116,no-visualization,600,1000,275,,45.8%,
117,no-visualization,600,1000,275,,45.8%,
118,no-visualization,600,1000,285,,47.5%,
119,no-visualization,600,1000,293,,48.8%,
120,no-visualization,600,1000,285,,47.5%,
121,no-visualization,650,1000,291,,44.8%,45.7%
122,no-visualization,650,1000,295,,45.4%,
123,no-visualization,650,1000,291,,44.8%,
124,no-visualization,650,1000,314,,48.3%,
125,no-visualization,650,1000,287,,44.2%,
126,no-visualization,650,1000,292,,44.9%,
127,no-visualization,650,1000,298,,45.8%,
