BehaviorSpace results (NetLogo 6.2.2),,,,,,
Sugarscape 2 demo.nlogo,,,,,,
experiment,,,,,,
02/17/2022 19:08:53:473 +0800,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,
0,49,0,49,,,
[run number],visualization,initial-population,max-metabolism,max-vision,[step],count turtles
1,no-visualization,100,1,6,1000,92
2,no-visualization,100,1,6,1000,93
3,no-visualization,100,1,6,1000,95
4,no-visualization,100,1,6,1000,94
5,no-visualization,100,1,6,1000,93
6,no-visualization,100,1,6,1000,93
7,no-visualization,100,1,6,1000,99
8,no-visualization,100,1,6,1000,91
9,no-visualization,100,1,6,1000,96
10,no-visualization,100,1,6,1000,96
11,no-visualization,100,2,6,1000,91
12,no-visualization,100,2,6,1000,85
13,no-visualization,100,2,6,1000,86
14,no-visualization,100,2,6,1000,88
15,no-visualization,100,2,6,1000,80
16,no-visualization,100,2,6,1000,84
17,no-visualization,100,2,6,1000,90
18,no-visualization,100,2,6,1000,89
19,no-visualization,100,2,6,1000,92
20,no-visualization,100,2,6,1000,87
21,no-visualization,100,3,6,1000,80
22,no-visualization,100,3,6,1000,75
23,no-visualization,100,3,6,1000,77
24,no-visualization,100,3,6,1000,82
25,no-visualization,100,3,6,1000,80
26,no-visualization,100,3,6,1000,82
27,no-visualization,100,3,6,1000,83
28,no-visualization,100,3,6,1000,85
29,no-visualization,100,3,6,1000,90
30,no-visualization,100,3,6,1000,82
31,no-visualization,100,4,6,1000,58
32,no-visualization,100,4,6,1000,66
33,no-visualization,100,4,6,1000,55
34,no-visualization,100,4,6,1000,64
35,no-visualization,100,4,6,1000,51
36,no-visualization,100,4,6,1000,67
37,no-visualization,100,4,6,1000,61
38,no-visualization,100,4,6,1000,64
39,no-visualization,100,4,6,1000,64
40,no-visualization,100,4,6,1000,62
41,no-visualization,100,5,6,1000,51
42,no-visualization,100,5,6,1000,55
43,no-visualization,100,5,6,1000,49
44,no-visualization,100,5,6,1000,48
45,no-visualization,100,5,6,1000,51
46,no-visualization,100,5,6,1000,53
47,no-visualization,100,5,6,1000,53
48,no-visualization,100,5,6,1000,39
49,no-visualization,100,5,6,1000,49
50,no-visualization,100,5,6,1000,47
51,no-visualization,100,6,6,1000,40
52,no-visualization,100,6,6,1000,53
53,no-visualization,100,6,6,1000,35
54,no-visualization,100,6,6,1000,48
55,no-visualization,100,6,6,1000,46
56,no-visualization,100,6,6,1000,48
57,no-visualization,100,6,6,1000,42
58,no-visualization,100,6,6,1000,43
59,no-visualization,100,6,6,1000,51
60,no-visualization,100,6,6,1000,47
61,no-visualization,100,7,6,1000,34
62,no-visualization,100,7,6,1000,22
63,no-visualization,100,7,6,1000,45
64,no-visualization,100,7,6,1000,47
65,no-visualization,100,7,6,1000,41
66,no-visualization,100,7,6,1000,41
67,no-visualization,100,7,6,1000,33
68,no-visualization,100,7,6,1000,49
69,no-visualization,100,7,6,1000,33
70,no-visualization,100,7,6,1000,46
71,no-visualization,100,8,6,1000,37
72,no-visualization,100,8,6,1000,33
73,no-visualization,100,8,6,1000,33
74,no-visualization,100,8,6,1000,38
75,no-visualization,100,8,6,1000,41
76,no-visualization,100,8,6,1000,39
77,no-visualization,100,8,6,1000,34
78,no-visualization,100,8,6,1000,33
79,no-visualization,100,8,6,1000,34
80,no-visualization,100,8,6,1000,36
81,no-visualization,100,9,6,1000,28
82,no-visualization,100,9,6,1000,23
83,no-visualization,100,9,6,1000,30
84,no-visualization,100,9,6,1000,34
85,no-visualization,100,9,6,1000,30
86,no-visualization,100,9,6,1000,30
87,no-visualization,100,9,6,1000,27
88,no-visualization,100,9,6,1000,35
89,no-visualization,100,9,6,1000,32
90,no-visualization,100,9,6,1000,27
91,no-visualization,100,10,6,1000,25
92,no-visualization,100,10,6,1000,28
93,no-visualization,100,10,6,1000,26
94,no-visualization,100,10,6,1000,24
95,no-visualization,100,10,6,1000,30
96,no-visualization,100,10,6,1000,36
97,no-visualization,100,10,6,1000,32
98,no-visualization,100,10,6,1000,36
99,no-visualization,100,10,6,1000,28
100,no-visualization,100,10,6,1000,23
101,no-visualization,200,1,6,1000,184
102,no-visualization,200,1,6,1000,192
103,no-visualization,200,1,6,1000,189
104,no-visualization,200,1,6,1000,188
105,no-visualization,200,1,6,1000,190
106,no-visualization,200,1,6,1000,191
107,no-visualization,200,1,6,1000,187
108,no-visualization,200,1,6,1000,190
109,no-visualization,200,1,6,1000,192
110,no-visualization,200,1,6,1000,190
111,no-visualization,200,2,6,1000,176
112,no-visualization,200,2,6,1000,181
113,no-visualization,200,2,6,1000,179
114,no-visualization,200,2,6,1000,178
115,no-visualization,200,2,6,1000,174
116,no-visualization,200,2,6,1000,173
117,no-visualization,200,2,6,1000,178
118,no-visualization,200,2,6,1000,172
119,no-visualization,200,2,6,1000,178
120,no-visualization,200,2,6,1000,182
121,no-visualization,200,3,6,1000,164
122,no-visualization,200,3,6,1000,157
123,no-visualization,200,3,6,1000,160
124,no-visualization,200,3,6,1000,164
125,no-visualization,200,3,6,1000,155
126,no-visualization,200,3,6,1000,161
127,no-visualization,200,3,6,1000,165
128,no-visualization,200,3,6,1000,159
129,no-visualization,200,3,6,1000,162
130,no-visualization,200,3,6,1000,169
131,no-visualization,200,4,6,1000,126
132,no-visualization,200,4,6,1000,122
133,no-visualization,200,4,6,1000,123
134,no-visualization,200,4,6,1000,121
135,no-visualization,200,4,6,1000,117
136,no-visualization,200,4,6,1000,129
137,no-visualization,200,4,6,1000,124
138,no-visualization,200,4,6,1000,132
139,no-visualization,200,4,6,1000,139
140,no-visualization,200,4,6,1000,126
141,no-visualization,200,5,6,1000,90
142,no-visualization,200,5,6,1000,109
143,no-visualization,200,5,6,1000,104
144,no-visualization,200,5,6,1000,112
145,no-visualization,200,5,6,1000,94
146,no-visualization,200,5,6,1000,88
147,no-visualization,200,5,6,1000,88
148,no-visualization,200,5,6,1000,87
149,no-visualization,200,5,6,1000,98
150,no-visualization,200,5,6,1000,95
151,no-visualization,200,6,6,1000,80
152,no-visualization,200,6,6,1000,83
153,no-visualization,200,6,6,1000,80
154,no-visualization,200,6,6,1000,85
155,no-visualization,200,6,6,1000,75
156,no-visualization,200,6,6,1000,75
157,no-visualization,200,6,6,1000,83
158,no-visualization,200,6,6,1000,88
159,no-visualization,200,6,6,1000,74
160,no-visualization,200,6,6,1000,79
161,no-visualization,200,7,6,1000,57
162,no-visualization,200,7,6,1000,71
163,no-visualization,200,7,6,1000,59
164,no-visualization,200,7,6,1000,61
165,no-visualization,200,7,6,1000,70
166,no-visualization,200,7,6,1000,70
167,no-visualization,200,7,6,1000,64
168,no-visualization,200,7,6,1000,66
169,no-visualization,200,7,6,1000,76
170,no-visualization,200,7,6,1000,67
171,no-visualization,200,8,6,1000,59
172,no-visualization,200,8,6,1000,54
173,no-visualization,200,8,6,1000,64
174,no-visualization,200,8,6,1000,63
175,no-visualization,200,8,6,1000,60
176,no-visualization,200,8,6,1000,62
177,no-visualization,200,8,6,1000,62
178,no-visualization,200,8,6,1000,70
179,no-visualization,200,8,6,1000,65
180,no-visualization,200,8,6,1000,64
181,no-visualization,200,9,6,1000,65
182,no-visualization,200,9,6,1000,54
183,no-visualization,200,9,6,1000,53
184,no-visualization,200,9,6,1000,54
185,no-visualization,200,9,6,1000,61
186,no-visualization,200,9,6,1000,57
187,no-visualization,200,9,6,1000,54
188,no-visualization,200,9,6,1000,53
189,no-visualization,200,9,6,1000,54
190,no-visualization,200,9,6,1000,64
191,no-visualization,200,10,6,1000,45
