BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,,,,,,
Sugarscape 2 demo.nlogo,,,,,,,,,,,,,,,,,,,,,,
popu-meta,,,,,,,,,,,,,,,,,,,,,,
02/18/2022 21:12:08:631 +0800,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,
0,49,0,49,,,,,,,,,,,,,,,,,,,
[run number],max-sugar,visualization,initial-population,max-metabolism,max-vision,[step],mean [metabolism] of turtles,,average-mean-meta,,,,,,,,,,,,,
1,25,color-agents-by-vision,100,1,6,800,1,,1,,,,,,,,,,,,,
2,25,color-agents-by-vision,100,1,6,800,1,,,,,,,,,,,,,,,
3,25,color-agents-by-vision,100,1,6,800,1,,,,,,,,,,,,,,,
4,25,color-agents-by-vision,100,1,6,800,1,,,,,,,,,,,,,,,
5,25,color-agents-by-vision,100,1,6,800,1,,,,,,,,,,,,,,,
6,25,color-agents-by-vision,100,1,6,800,1,,,,,,,,,,max-metabolism,,,,,
7,25,color-agents-by-vision,100,1,6,800,1,,,,,,1,2,3,4,5,6,7,8,9,10
8,25,color-agents-by-vision,100,1,6,800,1,,,,,100,1,1.455738967,1.92194402,1.930228675,1.996924373,2.082777297,2.079649906,2.178694485,2.218455523,2.137141138
9,25,color-agents-by-vision,100,1,6,800,1,,,,,200,1,1.47709692,1.853974791,1.870995167,1.929366111,1.903982517,1.92553753,1.992914305,2.007645262,2.004927094
10,25,color-agents-by-vision,100,1,6,800,1,,,,,300,1,1.461709363,1.807361857,1.862998485,1.879767172,1.902664907,1.884830185,1.911978605,1.927338391,1.883845147
11,25,color-agents-by-vision,100,2,6,800,1.476744186,,1.455738967,,,400,1,1.478219227,1.661548221,1.800640973,1.844538181,1.846474309,1.879417433,1.879579771,1.972514327,1.909163013
12,25,color-agents-by-vision,100,2,6,800,1.451612903,,,,initial-population,500,1,1.47177553,1.51252082,1.688520848,1.808990031,1.835174236,1.875522713,1.891241439,1.835037394,1.885849631
13,25,color-agents-by-vision,100,2,6,800,1.450549451,,,,,600,1,1.47170582,1.449629101,1.546989663,1.761927412,1.813234848,1.821364175,1.843850396,1.869824927,1.898286517
14,25,color-agents-by-vision,100,2,6,800,1.421686747,,,,,700,1,1.462650143,1.452190761,1.469462233,1.61057226,1.75452963,1.774611418,1.840188807,1.814886083,1.851952859
15,25,color-agents-by-vision,100,2,6,800,1.558139535,,,,,800,1,1.432100924,1.469410529,1.454633909,1.552239789,1.671337637,1.741309631,1.801996081,1.801737629,1.852233681
16,25,color-agents-by-vision,100,2,6,800,1.415730337,,,,,900,1,1.414799348,1.449675772,1.462870799,1.485508587,1.572673669,1.665218285,1.746830672,1.803462891,1.836739735
17,25,color-agents-by-vision,100,2,6,800,1.460674157,,,,,1000,1,1.36321224,1.463113705,1.468259419,1.45055354,1.492183303,1.59615711,1.730638407,1.723984292,1.801470372
18,25,color-agents-by-vision,100,2,6,800,1.4,,,,,,,,,,,,,,,
19,25,color-agents-by-vision,100,2,6,800,1.540229885,,,,,,,,,,,,,,,
20,25,color-agents-by-vision,100,2,6,800,1.382022472,,,,,,,,,,,,,,,
21,25,color-agents-by-vision,100,3,6,800,1.913580247,,1.92194402,,,,,,,,,,,,,
22,25,color-agents-by-vision,100,3,6,800,1.884615385,,,,,,,,,,,,,,,
23,25,color-agents-by-vision,100,3,6,800,1.775280899,,,,,,,,,,,,,,,
24,25,color-agents-by-vision,100,3,6,800,2.051282051,,,,,,,,,,,,,,,
25,25,color-agents-by-vision,100,3,6,800,1.894117647,,,,,,,,,,,,,,,
26,25,color-agents-by-vision,100,3,6,800,1.925925926,,,,,,,,,,,,,,,
27,25,color-agents-by-vision,100,3,6,800,1.829268293,,,,,,,,,,,,,,,
28,25,color-agents-by-vision,100,3,6,800,2.050632911,,,,,,,,,,,,,,,
29,25,color-agents-by-vision,100,3,6,800,1.894736842,,,,,,,,,,,,,,,
30,25,color-agents-by-vision,100,3,6,800,2,,,,,,,,,,,,,,,
31,25,color-agents-by-vision,100,4,6,800,1.873239437,,1.930228675,,,,,,,,,,,,,
32,25,color-agents-by-vision,100,4,6,800,1.793103448,,,,,,,,,,,,,,,
33,25,color-agents-by-vision,100,4,6,800,2.049180328,,,,,,,,,,,,,,,
34,25,color-agents-by-vision,100,4,6,800,2.118644068,,,,,,,,,,,,,,,
35,25,color-agents-by-vision,100,4,6,800,1.818181818,,,,,,,,,,,,,,,
36,25,color-agents-by-vision,100,4,6,800,1.920634921,,,,,,,,,,,,,,,
37,25,color-agents-by-vision,100,4,6,800,1.868852459,,,,,,,,,,,,,,,
38,25,color-agents-by-vision,100,4,6,800,1.783333333,,,,,,,,,,,,,,,
39,25,color-agents-by-vision,100,4,6,800,2.109375,,,,,,,,,,,,,,,
40,25,color-agents-by-vision,100,4,6,800,1.967741935,,,,,,,,,,,,,,,
41,25,color-agents-by-vision,100,5,6,800,2.117647059,,1.996924373,,,,,,,,,,,,,
42,25,color-agents-by-vision,100,5,6,800,2.02,,,,,,,,,,,,,,,
43,25,color-agents-by-vision,100,5,6,800,2.14,,,,,,,,,,,,,,,
44,25,color-agents-by-vision,100,5,6,800,1.896551724,,,,,,,,,,,,,,,
45,25,color-agents-by-vision,100,5,6,800,2.097560976,,,,,,,,,,,,,,,
46,25,color-agents-by-vision,100,5,6,800,2.063829787,,,,,,,,,,,,,,,
47,25,color-agents-by-vision,100,5,6,800,1.862745098,,,,,,,,,,,,,,,
48,25,color-agents-by-vision,100,5,6,800,1.96,,,,,,,,,,,,,,,
49,25,color-agents-by-vision,100,5,6,800,1.890909091,,,,,,,,,,,,,,,
50,25,color-agents-by-vision,100,5,6,800,1.92,,,,,,,,,,,,,,,
51,25,color-agents-by-vision,100,6,6,800,2.090909091,,2.082777297,,,,,,,,,,,,,
52,25,color-agents-by-vision,100,6,6,800,2.2,,,,,,,,,,,,,,,
53,25,color-agents-by-vision,100,6,6,800,1.772727273,,,,,,,,,,,,,,,
54,25,color-agents-by-vision,100,6,6,800,1.904761905,,,,,,,,,,,,,,,
55,25,color-agents-by-vision,100,6,6,800,2.326530612,,,,,,,,,,,,,,,
56,25,color-agents-by-vision,100,6,6,800,2.069767442,,,,,,,,,,,,,,,
57,25,color-agents-by-vision,100,6,6,800,2.090909091,,,,,,,,,,,,,,,
58,25,color-agents-by-vision,100,6,6,800,2.465116279,,,,,,,,,,,,,,,
59,25,color-agents-by-vision,100,6,6,800,2.041666667,,,,,,,,,,,,,,,
60,25,color-agents-by-vision,100,6,6,800,1.865384615,,,,,,,,,,,,,,,
61,25,color-agents-by-vision,100,7,6,800,2.051282051,,2.079649906,,,,,,,,,,,,,
62,25,color-agents-by-vision,100,7,6,800,2.078947368,,,,,,,,,,,,,,,
63,25,color-agents-by-vision,100,7,6,800,2.189189189,,,,,,,,,,,,,,,
64,25,color-agents-by-vision,100,7,6,800,2.166666667,,,,,,,,,,,,,,,
65,25,color-agents-by-vision,100,7,6,800,2,,,,,,,,,,,,,,,
66,25,color-agents-by-vision,100,7,6,800,2.184210526,,,,,,,,,,,,,,,
67,25,color-agents-by-vision,100,7,6,800,2,,,,,,,,,,,,,,,
68,25,color-agents-by-vision,100,7,6,800,2.119047619,,,,,,,,,,,,,,,
69,25,color-agents-by-vision,100,7,6,800,2.076923077,,,,,,,,,,,,,,,
70,25,color-agents-by-vision,100,7,6,800,1.930232558,,,,,,,,,,,,,,,
71,25,color-agents-by-vision,100,8,6,800,1.790697674,,2.178694485,,,,,,,,,,,,,
72,25,color-agents-by-vision,100,8,6,800,2.142857143,,,,,,,,,,,,,,,
73,25,color-agents-by-vision,100,8,6,800,2.2,,,,,,,,,,,,,,,
74,25,color-agents-by-vision,100,8,6,800,2.219512195,,,,,,,,,,,,,,,
75,25,color-agents-by-vision,100,8,6,800,2.214285714,,,,,,,,,,,,,,,
76,25,color-agents-by-vision,100,8,6,800,2.189189189,,,,,,,,,,,,,,,
77,25,color-agents-by-vision,100,8,6,800,2.358974359,,,,,,,,,,,,,,,
78,25,color-agents-by-vision,100,8,6,800,2.4,,,,,,,,,,,,,,,
79,25,color-agents-by-vision,100,8,6,800,2.171428571,,,,,,,,,,,,,,,
80,25,color-agents-by-vision,100,8,6,800,2.1,,,,,,,,,,,,,,,
81,25,color-agents-by-vision,100,9,6,800,2.138888889,,2.218455523,,,,,,,,,,,,,
82,25,color-agents-by-vision,100,9,6,800,2.194444444,,,,,,,,,,,,,,,
83,25,color-agents-by-vision,100,9,6,800,2,,,,,,,,,,,,,,,
